project_id,project_name,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,winner_tin,winner_name,contract_no,contract_date,contract_finish_date,contract_price_agree,contract_status,source_file,budget_level
67099446876,ประกวดราคาจ้างก่อสร้างโครงการพัฒนาและปรับปรุงโครงสร้างพื้นฐาน สิ่งอำนวยความสะดวกทางการท่องเที่ยวในเส้นทางและพื้นที่เป้าหมายแหล่งท่องเที่ยวสำคัญ กิจกรรมหลัก ปรับปรุงภูมิทัศน์บริเวณจุดตรวจด่านแม่ยะ ทางหลวงหมายเลข 1095 ตอน กิ่วคอหมา - แม่นะ ระหว่าง กม.67+475 - กม.68+475 ในพื้นที่ตำบลแม่ฮี้ อำเภอปาย จังหวัดแม่ฮ่องสอน ปริมาณงาน 1 แห่ง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,กรมทางหลวง,แขวงทางหลวงแม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,19 ก.ย. 67,"2,000,000.00","1,999,000.12","1,988,000.00",2568,15 ต.ค. 67,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,ปางหมู,ระหว่างดำเนินการ,"LINESTRING(98.53920894085849 19.3089411176684,98.51319270550692 19.284098436718597)",0105536011218,บริษัท พี เอส เจ พาวเวอร์ จำกัด,มส.1/2568,15 ต.ค. 67,14 มี.ค. 68,1988000.00,ระหว่างดำเนินการ,govspending_maehongson_2568_budget2_part_01.xls,2
68059378302,ประกวดราคาจ้างก่อสร้างแผนรายประมาณการ งบประมาณรายจ่ายประจำปีงบประมาณ พ.ศ.2568 งบกลาง รายการเงินสำรองจ่ายเพื่อกรณีฉุกเฉินหรือจำเป็น เพื่อฟื้นฟูโครงสร้างพื้นฐานที่ได้รับความเสียหายจากอุทกภัยและภัยพิบัติ ทางหลวงหมายเลข 1265 ตอนควบคุม 0100 ตอน ปาย - วัดจันทร์ ตอน 1 ระหว่าง กม.30+674 - กม.30+702 LT. ปริมาณงาน 1 แห่ง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,กรมทางหลวง,แขวงทางหลวงแม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,25 มิ.ย. 68,"2,000,000.00","1,998,666.25","1,988,000.00",2568,21 ก.ค. 68,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,ปางหมู,ระหว่างดำเนินการ,"LINESTRING(98.32761484370953 19.230936295434272,98.3033152221275 19.197363843114726)",0573548000237,ห้างหุ้นส่วนจำกัด เรืองเศรษฐ,มส.53/2568,21 ก.ค. 68,18 ธ.ค. 68,1988000.00,ระหว่างดำเนินการ,govspending_maehongson_2568_budget2_part_01.xls,2
68079496550,ประกวดราคาจ้างก่อสร้างงานตามแผนรายประมาณการ งบประมาณรายจ่ายประจำปีงบประมาณ พ.ศ 2568 งบกลาง รายการค่าใช้จ่ายเพื่อการกระตุ้นเศรษฐกิจและสร้างความเข้มแข็งของระบบเศรษฐกิจ โครงการอำนวยความปลอดภัยเพื่อสนับสนุนโครงข่ายโลจิสติกส์และการขนส่ง รหัสงาน 31411 งานติดตั้งไฟฟ้าแสงสว่าง งานอำนวยความปลอดภัยเพื่อป้องกันและแก้ไขอุบัติเหตุทางถนน ทางหลวงหมายเลข 1226 ตอน จ่าโบ่ - ปางคาม ตอน 3 ระหว่าง กม.21+500 - กม.23+000 ปริมาณงาน 1 แห่ง (41 ต้น) ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,กรมทางหลวง,แขวงทางหลวงแม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,13 ส.ค. 68,"1,989,000.00","1,987,174.52","1,969,400.00",2568,10 ก.ย. 68,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,ปางหมู,ระหว่างดำเนินการ,"LINESTRING(98.21888221167194 19.62730601216219,98.19156897925006 19.601613664676012)",0523549000966,ห้างหุ้นส่วนจำกัด พี แอนด์ เอฟ แก๊ส เซอร์วิส,มส.61/2568,10 ก.ย. 68,9 ธ.ค. 68,1969400.00,ระหว่างดำเนินการ,govspending_maehongson_2568_budget2_part_01.xls,2
68079371817,ประกวดราคาจ้างโครงการส่งเสริมและพัฒนาประเพณี ฟื้นฟูอนุรักษ์วัฒนธรรม เพื่อการท่องเที่ยวอย่างยั่งยืน จังหวัดแม่ฮ่องสอน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างทำของ/จ้างเหมาบริการ,สำนักงานปลัดกระทรวงวัฒนธรรม,สำนักงานวัฒนธรรมจังหวัดแม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,4 ส.ค. 68,"1,974,400.00","2,115,453.33","1,950,000.00",2568,1 ก.ย. 68,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,จองคำ,ระหว่างดำเนินการ,,0625566000791,บริษัท พีเค ออล อะเบาท์ จำกัด,2/2568,1 ก.ย. 68,31 ต.ค. 68,1950000.00,ระหว่างดำเนินการ,govspending_maehongson_2568_budget2_part_01.xls,2
68019452195,ประกวดราคาซื้อจัดซื้อรถห้องสมุดเคลื่อนที่ สำนักงานส่งเสริมการเรียนรู้ประจำจังหวัดแม่ฮ่องสอน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),ซื้อ,กรมส่งเสริมการเรียนรู้,สำนักงานส่งเสริมการเรียนรู้จังหวัดแม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,30 ม.ค. 68,"2,000,000.00","2,000,000.00","1,950,000.00",2568,6 มี.ค. 68,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,จองคำ,ระหว่างดำเนินการ,,0105564124978,บริษัท ไตรยูนิตี้ จำกัด,004/2568,6 มี.ค. 68,2 ก.ย. 68,1950000.00,ระหว่างดำเนินการ,govspending_maehongson_2568_budget2_part_01.xls,2
67099176073,ประกวดราคาซื้อวัสดุประเภทงานป้องกันการกัดเซาะ จำนวน ๔ รายการ ของงานซ่อมแซมระบบส่งน้ำฝั่งซ้ายฝายแม่สะเรียง กม ๑ ๐๖๐ โครงการชลประทานแม่ฮ่องสอน ตำบลแม่สะเรียง อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),ซื้อ,กรมชลประทาน,โครงการชลประทาน (ชคป.) แม่ฮ่องสอน กรมชลประทาน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,6 ก.ย. 67,"2,571,200.00","2,571,200.00","1,924,480.00",2568,6 พ.ย. 67,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,ผาบ่อง,ระหว่างดำเนินการ,,0583559000284,ห้างหุ้นส่วนจำกัด ปางมะผ้า โฮมโซลูชั่น,5/2568 มส.,6 พ.ย. 67,6 ธ.ค. 67,1924480.00,ระหว่างดำเนินการ,govspending_maehongson_2568_budget2_part_01.xls,2
67109235578,ประกวดราคาจ้างก่อสร้างปรับปรุงรั้ว วิทยาลัยการอาชีพนวมินทราชินีแม่ฮ่องสอน ตำบลจองคำ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,วิทยาลัยการอาชีพนวมินทราชินีแม่ฮ่องสอน,วิทยาลัยการอาชีพนวมินทราชินีแม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,5 พ.ย. 67,"2,385,200.00","2,385,200.00","1,900,000.00",2568,6 ธ.ค. 67,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,จองคำ,ระหว่างดำเนินการ,POINT(97.96178072690964 19.286522088610468),0583560000071,ห้างหุ้นส่วนจำกัด รัตนเกรียงไกร,ก่อสร้าง 001/2568,6 ธ.ค. 67,5 พ.ค. 68,1900000.00,ระหว่างดำเนินการ,govspending_maehongson_2568_budget2_part_01.xls,2
67109131862,ประกวดราคาจ้างก่อสร้างซ่อมฟื้นฟูทางหลวงชนบทอันเนื่องจากเหตุภัยพิบัติ มส.3005 แยกทางหลวงหมายเลข 108 (กม.ที่ 72+400) - บ้านต้นงิ้ว อำเภอสบเมย จังหวัดแม่ฮ่องสอน จำนวน 1 แห่ง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,กรมทางหลวงชนบท,แขวงทางหลวงชนบทแม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,12 พ.ย. 67,"2,000,000.00","2,047,440.73","1,897,000.00",2568,9 ธ.ค. 67,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,ปางหมู,ระหว่างดำเนินการ,POINT(98.13675017835011 18.0910994934915),0583526000170,ห้างหุ้นส่วนจำกัด ชื่นชูไพรก่อสร้าง,ขทช.มส./6/2568,9 ธ.ค. 67,8 เม.ย. 68,1897000.00,ระหว่างดำเนินการ,govspending_maehongson_2568_budget2_part_01.xls,2
67129180765,ประกวดราคาจ้างก่อสร้างงานตามแผนรายประมาณการ กิจกรรมอำนวยการและสนับสนุนการพัฒนาทางหลวง ประจำปี 2568 รหัสงาน 20520 งานก่อสร้างอาคารที่ทำการและสิ่งก่อสร้างประกอบ สำนักงานส่วนไฟฟ้า แขวงทางหลวงแม่ฮ่องสอน จ.แม่ฮ่องสอน 1 แห่ง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,กรมทางหลวง,แขวงทางหลวงแม่ฮ่องสอน,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,16 ธ.ค. 67,"1,900,000.00","1,899,496.53","1,886,000.00",2568,10 ก.พ. 68,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,ปางหมู,ระหว่างดำเนินการ,"LINESTRING(97.93238294361909 19.361849794937974,97.90636670826753 19.337015141518023)",0583543000018,ห้างหุ้นส่วนจำกัด เจ เอ็น เพาเวอร์,มส.17/2568,10 ก.พ. 68,9 ส.ค. 68,1886000.00,ระหว่างดำเนินการ,govspending_maehongson_2568_budget2_part_01.xls,2
68019151427,"ซื้อจัดซื้อวัสดุเชื้อเพลิงและหล่อลื่น  จำนวน  10  รายการ  เพื่อใช้ในการขุดลอกแหล่งน้ำ (ห้วยบวกกอกหลวง) เดิมขนาดพื้นที่ 22,300 ตร.ม. ลึกเฉลี่ย 1 ม. อัตราลาด 1 ต่อ 3 ให้ได้ขนาดพื้นที่ 22,300 ตร.ม. ลึก 4 ม. อัตราลาด 1 ต่อ 2 ปริมาตรดินไม่น้อยกว่า 69,600 ลบ.ม. ที่ บ.องครักษ์  หมู่ 14 ต.ข่วงเปา  อ.จอมทอง จ.เชียงใหม่ โดยวิธีเฉพาะเจาะจง",ซื้อ,กองบัญชาการกองทัพไทย,หน่วยพัฒนาการเคลื่อนที่ ๓๖  สำนักงานพัฒนาภาค ๓  หน่วยบัญชาการทหารพัฒนา,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,"1,864,057.00","1,864,057.00","1,864,046.93",2568,10 ม.ค. 68,แม่ฮ่องสอน,สบเมย,แม่คะตวน,ระหว่างดำเนินการ,,0107544000108,บริษัท ปตท. จำกัด(มหาชน),ซ65/68น36,10 ม.ค. 68,11 มี.ค. 68,1864046.93,ระหว่างดำเนินการ,govspending_maehongson_2568_budget2_part_01.xls,2
